name,street,town,state,zipcode,annual_rounds,ownership,year_built,green_fees ($)
Sandpines Golf Links,1201 35th St,Florence,OR,97439,"25,000 (estimated)",Public,1993,89
Diamond Woods Golf Course,96040 Territorial Hmy,Monroe,OR,97456,"30,000 (estimated)",Semi-Private,1997,35
McNary Golf Club,155 Mcnary Estates Dr N,Keizer,OR,97303,"24,500 (estimated)",Semi-Private,1961,40
Golf Club of Oregon,905 Nw Spring Hill Dr,Albany,OR,97321,"40,000 (estimated)",Public,1929,24
Spring Hill Country Club,155 Nw Country Club Ln,Albany,OR,97321,"55,000 (estimated)",Private,1960,30
North Course at Reserve Vineyards & Golf Club,4805 Sw 229th Ave,Aloha,OR,97007,N/A,Semi-Private,1998,90
South Course at Reserve Vineyards & Golf Club,4805 Sw 229th Ave,Aloha,OR,97007,N/A,Semi-Private,1997,90
China Creek Golf Course,1700 Railroad Avenue,Arlington,OR,97812,"7,500 (estimated)",Public,2003,18
Oak Knoll Golf Course,3070 Hwy 66,Ashland,OR,97520,"40,000 (estimated)",Public,1924,18
Langdon Farms Golf Club,24377 Airport Rd Ne,Aurora,OR,97002,"55,000 (estimated)",Public,1995,75
Quaill Ridge Golf Club,2801 Indiana Ave,Baker City,OR,97814,"17,000 (estimated)",Public,1936,24
Bandon Dunes Course at Bandon Dunes,57744 Round Lake Dr,Bandon,OR,97411,"46,000 (estimated)",Public,1999,200
Bandon Face Rock Golf Course,3235 Beach Loop Rd,Bandon,OR,97411,"30,000 (estimated)",Public,1926,16
Bandon Trails Course at Bandon Dunes,57744 Round Lake Dr,Bandon,OR,97411,"46,000 (estimated)",Public,2005,225
Pacific Dunes Course at Bandon Dunes,57744 Round Lake Dr,Bandon,OR,97411,"46,000 (estimated)",Public,2001,200
Quail Valley Golf Course,12565 Nw Aerts Rd,Banks,OR,97106,"45,000 (estimated)",Public,1993,36
RedTail Golf Course,8200 Sw Scholls Ferry Rd,Beaverton,OR,97008,"65,000 (estimated)",Public,1965,35
Awbrey Glen Golf Club,2500 Nw Awbrey Glen Dr,Bend,OR,97701,"22,000 (estimated)",Private,1993,95
Bend Golf & Country Club,61045 Country Club Dr,Bend,OR,97702,"30,000 (estimated)",Private,1927,50
Broken Top Club,62000 Broken Top Dr,Bend,OR,97702,"13,000 (estimated)",Private,1993,150
Lost Tracks Golf Club,60205 Sunset View Dr,Bend,OR,97702,"19,500 (estimated)",Public,1996,48
Mountain High Golf Course,60650 China Hat Rd,Bend,OR,97702,"55,500 (estimated)",Public,1990,48
Orion Greens Golf Course,61525 Se Fargo Ln,Bend,OR,97702,"45,000 (estimated)",Public,1982,21
Rivers Edge Golf Course,400 Nw Pro Shop Dr,Bend,OR,97701,"25,000 (estimated)",Public,1988,52
Widgi Creek Golf Club,18707 Century Dr,Bend,OR,97702,"26,500 (estimated)",Semi-Private,1991,85
Big Meadow Course at Black Butte Ranch,Hwy 20,Black Butte Ranch,OR,97759,"55,000 (estimated)",Resort,1970,58
Glaze Meadow Course at Black Butte Ranch,Hwy 20,Black Butte Ranch,OR,97759,"55,000 (estimated)",Resort,1980,58
Tokatee Golf Club,54947 Mckenzie Hwy,Blue River,OR,97413,"30,000 (estimated)",Public,1966,35
Wilsons Willow Run Executive Golf Course,78873 Toms Camp Rd,Boardman,OR,97818,N/A,Public,1972,10
Greanlee Golf Course,26736 Se Kelso Rd,Boring,OR,97009,N/A,Public,1978,18
Mountain View Golf Club,27195 Se Kelso Rd,Boring,OR,97009,"40,000 (estimated)",Public,,24
Salmon Run Golf Course,99040 S Bank Chetco River Rd,Brookings,OR,97415,"20,000 (estimated)",Semi-Private,1999,60
Frontier Golf Course,2965 N Holly St,Canby,OR,97013,N/A,Public,1964,12
Willamette Valley Country Club,900 Country Club Pl,Canby,OR,97013,"100,000 (estimated)",Private,1962,40
Illinois Valley Golf Club,Redwood Hwy And Laurel Rd,Cave Junction,OR,97523,"27,000 (estimated)",Semi-Private,1977,16
Laurel Hill Golf Course,9450 Old Stage Rd,Central Point,OR,97502,"45,000 (estimated)",Public,1975,7.5
Christmas Valley Golf Course,Christmas Valley Blvd,Christmas Valley,OR,97641,"12,000 (estimated)",Public,,15
Pleasant Valley Golf Club,12300 Se 162nd Ave,Clackamas,OR,97015,"40,000 (estimated)",Private,1969,45
Sah-Hah-Lee Golf Course,17104 Se 130th Ave,Clackamas,OR,97015,"55,000 (estimated)",Public,1991,15
Coos Country Club,93884 Coos Summer Ln,Coos Bay,OR,97420,"17,000 (estimated)",Private,1923,35
Sunset Bay Golf Course,11001 Cape Arago Hwy,Coos Bay,OR,97420,"37,000 (estimated)",Public,1969,19
Coquille Valley Elks,Hc 83,Coquille,OR,97423,"12,000 (estimated)",Private,,20
Forest Hills Golf Course,36260 Sw Tongue Ln,Cornelius,OR,97113,"50,000 (estimated)",Semi-Private,1953,32
Corvallis Country Club,1850 Sw Whiteside Dr,Corvallis,OR,97333,"20,000 (estimated)",Private,1917,45
Golf City,2115 Ne Hwy 20,Corvallis,OR,97330,N/A,Public,1977,11
Marysville Golf Course,2020 Sw Allen St,Corvallis,OR,97333,"40,000 (estimated)",Public,1958,21
Trysting Tree Golf Club,34028 Ne Electric Rd,Corvallis,OR,97333,"65,000 (estimated)",Public,1988,28
Hidden Valley Golf Course,775 N River Rd,Cottage Grove,OR,97424,"18,000 (estimated)",Public,1928,16
Middlefield Village Golf Course,91 Village Dr,Cottage Grove,OR,97424,"30,000 (estimated)",Public,1991,22
Emerald Valley Golf Club,83301 Dale Kuni Rd,Creswell,OR,97426,"41,000 (estimated)",Semi-Private,1966,31
Crooked River Ranch Golf,5195 Club House Rd,Crooked River Ranch,OR,97760,"26,000 (estimated)",Public,1979,25
Cross Creek Golf Course,13935 Hwy 22,Dallas,OR,97338,N/A,Public,1998,24
Dallas Golf Course,11875 Orr Corner Rd,Dallas,OR,97338,"42,000 (estimated)",Public,1989,18
Riverwood Golf Course,21050 Se Riverwood Rd,Dundee,OR,97115,"26,000 (estimated)",Public,1932,22
