datetime,t
7/2/23 19:00,12.957
7/2/23 19:15,12.99
7/2/23 19:30,12.668
7/2/23 19:45,12.518
7/2/23 20:00,12.904
7/2/23 20:15,12.368
7/2/23 20:30,11.66
7/2/23 20:45,11.789
7/2/23 21:00,10.823
7/2/23 21:15,10.673
7/2/23 21:30,10.287
7/2/23 21:45,10.459
7/2/23 22:00,10.244
7/2/23 22:15,9.987
7/2/23 22:30,10.888
7/2/23 22:45,11.231
7/2/23 23:00,11.124
7/2/23 23:15,10.051
7/2/23 23:30,9.858
7/2/23 23:45,9.515
7/3/23 0:00,10.437
7/3/23 0:15,10.609
7/3/23 0:30,10.459
7/3/23 0:45,10.373
7/3/23 1:00,10.459
7/3/23 1:15,9.966
7/3/23 1:30,10.201
7/3/23 1:45,10.266
7/3/23 2:00,9.987
7/3/23 2:15,10.051
7/3/23 2:30,10.137
7/3/23 2:45,10.073
7/3/23 3:00,9.987
7/3/23 3:15,9.88
7/3/23 3:30,10.33
7/3/23 3:45,9.987
7/3/23 4:00,9.987
7/3/23 4:15,9.794
7/3/23 4:30,9.966
7/3/23 4:45,9.708
7/3/23 5:00,10.137
7/3/23 5:15,9.708
7/3/23 5:30,9.644
7/3/23 5:45,10.137
7/3/23 6:00,10.33
7/3/23 6:15,10.587
7/3/23 6:30,11.531
7/3/23 6:45,11.467
7/3/23 7:00,11.96
7/3/23 7:15,11.36
7/3/23 7:30,11.617
7/3/23 7:45,11.445
7/3/23 8:00,10.931
7/3/23 8:15,11.102
7/3/23 8:30,10.587
7/3/23 8:45,11.467
7/3/23 9:00,12.218
7/3/23 9:15,11.81
7/3/23 9:30,11.574
7/3/23 9:45,12.303
7/3/23 10:00,13.74
7/3/23 10:15,13.762
7/3/23 10:30,14.491
7/3/23 10:45,13.805
7/3/23 11:00,12.711
7/3/23 11:15,12.861
7/3/23 11:30,15.092
7/3/23 11:45,13.955
7/3/23 12:00,14.856
7/3/23 12:15,14.834
7/3/23 12:30,15.199
7/3/23 12:45,14.941
7/3/23 13:00,14.083
7/3/23 13:15,14.727
7/3/23 13:30,13.569
7/3/23 13:45,14.512
7/3/23 14:00,12.818
7/3/23 14:15,14.362
7/3/23 14:30,13.29
7/3/23 14:45,13.74
7/3/23 15:00,14.083
7/3/23 15:15,12.26
7/3/23 15:30,14.362
7/3/23 15:45,12.325
7/3/23 16:00,12.196
7/3/23 16:15,13.483
7/3/23 16:30,13.547
7/3/23 16:45,12.411
7/3/23 17:00,12.668
7/3/23 17:15,13.933
7/3/23 17:30,12.046
7/3/23 17:45,11.917
7/3/23 18:00,13.783
7/3/23 18:15,13.419
7/3/23 18:30,11.831
7/3/23 18:45,11.939
7/3/23 19:00,11.145
7/3/23 19:15,11.038
7/3/23 19:30,10.845
7/3/23 19:45,10.716
7/3/23 20:00,10.33
7/3/23 20:15,10.094
7/3/23 20:30,9.73
