"zip","population","city","county"
"97229",74755,"Portland","Washington County"
"97045",57575,"Oregon City","Clackamas County"
"97301",55386,"Salem","Marion County"
"97124",54493,"Hillsboro","Washington County"
"97402",52925,"Eugene","Lane County"
"97702",52420,"Bend","Deschutes County"
"97206",51062,"Portland","Multnomah County"
"97223",50027,"Portland","Washington County"
"97504",49426,"Medford","Jackson County"
"97007",48524,"Beaverton","Washington County"
"97123",48218,"Hillsboro","Washington County"
"97401",48214,"Eugene","Lane County"
"97080",47168,"Gresham","Multnomah County"
"97405",46695,"Eugene","Lane County"
"97501",45900,"Medford","Jackson County"
"97006",45090,"Beaverton","Washington County"
"97305",44994,"Salem","Marion County"
"97330",44744,"Corvallis","Benton County"
"97219",44074,"Portland","Multnomah County"
"97202",43687,"Portland","Multnomah County"
"97756",43545,"Redmond","Deschutes County"
"97230",41799,"Portland","Multnomah County"
"97701",41577,"Bend","Deschutes County"
"97302",41382,"Salem","Marion County"
"97303",41143,"Salem","Marion County"
"97478",39268,"Springfield","Lane County"
"97236",39033,"Portland","Multnomah County"
"97030",38947,"Gresham","Multnomah County"
"97128",38272,"Mcminnville","Yamhill County"
"97477",38105,"Springfield","Lane County"
"97233",37625,"Portland","Multnomah County"
"97222",37058,"Portland","Clackamas County"
"97527",37051,"Grants Pass","Josephine County"
"97322",37008,"Albany","Linn County"
"97224",36591,"Portland","Washington County"
"97526",35742,"Grants Pass","Josephine County"
"97266",35719,"Portland","Multnomah County"
"97306",34946,"Salem","Marion County"
"97217",34884,"Portland","Multnomah County"
"97211",34376,"Portland","Multnomah County"
"97404",34338,"Eugene","Lane County"
"97304",34148,"Salem","Polk County"
"97203",33327,"Portland","Multnomah County"
"97703",33279,"Bend","Deschutes County"
"97355",32777,"Lebanon","Linn County"
"97086",32537,"Happy Valley","Clackamas County"
"97603",32376,"Klamath Falls","Klamath County"
"97471",32182,"Roseburg","Douglas County"
"97213",31810,"Portland","Multnomah County"
"97071",31534,"Woodburn","Marion County"
"97132",31289,"Newberg","Yamhill County"
"97267",31130,"Portland","Clackamas County"
"97068",30336,"West Linn","Clackamas County"
