Datetime,Voltage,Pressure,Solar Radiation,Air Temperature,Relative Humidity,Wind Speed,Gust Speed,Wind Direction,Rain
7/2/23 19:00,-0.00023,747.55,1276.9,12.957,17.604,2,3.67,348.2,0
7/2/23 19:15,-0.00023,747.45,14.4,12.99,34.841,2.67,5.01,321.5,0
7/2/23 19:30,-0.00023,747.45,14.4,12.668,31.691,3.01,6.01,324.3,0
7/2/23 19:45,-0.00023,747.35,13.1,12.518,37.017,3.01,5.34,329.9,0
7/2/23 20:00,-0.00023,747.45,11.9,12.904,29.734,2.34,5.34,328.5,0
7/2/23 20:15,-0.00023,747.35,10.6,12.368,32.97,2.67,5.01,329.9,0
7/2/23 20:30,-0.00023,747.35,8.1,11.66,34.069,2,4.01,311.7,0
7/2/23 20:45,-0.00023,747.35,4.4,11.789,32.155,1.67,2.67,244.3,0
7/2/23 21:00,-0.00023,747.25,0.6,10.823,40.896,1,2.34,249.9,0
7/2/23 21:15,-0.00023,747.35,0.6,10.673,46.911,0.33,1.67,269.6,0
7/2/23 21:30,-0.00023,747.25,0.6,10.287,44.714,0.33,2,294.8,0
7/2/23 21:45,-0.00023,747.35,0.6,10.459,39.866,0.67,2.34,292,0
7/2/23 22:00,-0.00023,747.35,0.6,10.244,39.312,1,2.34,279.4,0
7/2/23 22:15,-0.00023,747.25,0.6,9.987,38.808,1,2,268.1,0
7/2/23 22:30,-0.00023,747.25,0.6,10.888,37.383,1.34,4.01,314.5,0
7/2/23 22:45,-0.00023,746.95,0.6,11.231,36.91,1,3.67,317.3,0
7/2/23 23:00,-0.00023,746.95,0.6,11.124,37.841,1,2,311.7,0
7/2/23 23:15,-0.00023,746.95,0.6,10.051,40.749,1,2.34,297.6,0
7/2/23 23:30,-0.00023,746.85,0.6,9.858,42.872,1,3.01,293.4,0
7/2/23 23:45,-0.00023,746.75,0.6,9.515,43.542,0.33,1.67,276.6,0
7/3/23 0:00,-0.00023,746.75,0.6,10.437,39.779,1.34,3.01,325.7,0
7/3/23 0:15,-0.00023,746.65,0.6,10.609,38.602,1.34,3.67,355.2,0
7/3/23 0:30,-0.00023,746.65,0.6,10.459,40.388,2,5.68,338.3,0
7/3/23 0:45,-0.00023,746.45,0.6,10.373,39.461,2.67,6.01,336.9,0
7/3/23 1:00,-0.00023,746.45,0.6,10.459,37.955,2.67,6.35,332.7,0
7/3/23 1:15,-0.00023,746.55,0.6,9.966,40.946,2.34,5.34,315.9,0
7/3/23 1:30,-0.00023,746.45,0.6,10.201,39.274,2.34,4.68,313.1,0
7/3/23 1:45,-0.00023,746.45,0.6,10.266,38.509,3.01,5.68,315.9,0
7/3/23 2:00,-0.00023,746.25,0.6,9.987,39.145,3.01,5.01,321.5,0
7/3/23 2:15,-0.00023,746.25,0.6,10.051,37.746,3.01,6.68,308.9,0
7/3/23 2:30,-0.00023,746.25,0.6,10.137,35.941,3.01,5.34,308.9,0
7/3/23 2:45,-0.00023,745.95,0.6,10.073,35.451,3.01,5.34,308.9,0
7/3/23 3:00,-0.00023,746.05,0.6,9.987,35.184,2.67,6.01,306.1,0
7/3/23 3:15,-0.00023,746.05,0.6,9.88,34.273,1,5.68,279.4,0
7/3/23 3:30,-0.00023,746.05,0.6,10.33,32.726,1.34,5.68,285,0
7/3/23 3:45,-0.00023,746.05,0.6,9.987,34.206,2,5.68,310.3,0
7/3/23 4:00,-0.00023,745.85,0.6,9.987,35.048,2.67,5.68,301.8,0
7/3/23 4:15,-0.00023,746.05,0.6,9.794,33.455,3.01,6.01,293.4,0
7/3/23 4:30,-0.00023,745.85,0.6,9.966,33.199,2.67,6.01,289.2,0
7/3/23 4:45,-0.00023,745.85,0.6,9.708,34.051,3.01,5.34,301.8,0
7/3/23 5:00,-0.00023,745.75,0.6,10.137,30.584,3.01,6.35,307.5,0
7/3/23 5:15,-0.00023,745.85,0.6,9.708,31.174,3.01,5.01,313.1,0
7/3/23 5:30,-0.00023,745.75,6.9,9.644,32.357,2.67,5.34,304.7,0
7/3/23 5:45,-0.00023,745.75,30.6,10.137,29.041,2.67,5.34,313.1,0
7/3/23 6:00,-0.00023,745.75,71.9,10.33,27.379,2.67,4.68,315.9,0
7/3/23 6:15,-0.00023,745.75,114.4,10.587,27.297,2.67,4.68,315.9,0
7/3/23 6:30,-0.00023,745.85,154.4,11.531,25.374,2.34,5.01,290.6,0
7/3/23 6:45,-0.00023,745.75,196.9,11.467,25.357,2.67,5.01,293.4,0
7/3/23 7:00,-0.00023,745.75,241.9,11.96,24.546,2.67,5.01,285,0
7/3/23 7:15,-0.00023,745.85,286.9,11.36,27.504,2.34,5.01,271,0
7/3/23 7:30,-0.00023,745.85,333.1,11.617,25.695,1.67,3.34,290.6,0
7/3/23 7:45,-0.00023,745.85,379.4,11.445,24.665,2,4.34,286.4,0
7/3/23 8:00,-0.00023,745.75,423.1,10.931,25.719,2.67,6.35,314.5,0
7/3/23 8:15,-0.00023,745.85,469.4,11.102,25.365,2.67,5.68,324.3,0
7/3/23 8:30,-0.00023,745.85,513.1,10.587,28.978,2.34,5.34,314.5,0
7/3/23 8:45,-0.00023,745.75,556.9,11.467,27.082,2.67,5.01,324.3,0
7/3/23 9:00,-0.00023,745.85,596.9,12.218,23.255,1.67,5.01,301.8,0
7/3/23 9:15,-0.00023,745.85,638.1,11.81,19.873,2,4.34,278,0
7/3/23 9:30,-0.00023,745.85,678.1,11.574,22.678,1.67,5.01,324.3,0
7/3/23 9:45,-0.00023,745.85,714.4,12.303,33.848,1.67,3.34,318.7,0
7/3/23 10:00,-0.00023,745.85,750.6,13.74,24.353,0.67,2.34,332.7,0
7/3/23 10:15,-0.00023,745.95,783.1,13.762,21.961,1,2.67,263.9,0
7/3/23 10:30,-0.00023,745.85,811.9,14.491,31.765,0.33,1.67,286.4,0
7/3/23 10:45,-0.00023,745.75,843.1,13.805,35.904,0.33,2.34,146,0
7/3/23 11:00,-0.00023,745.95,869.4,12.711,41.723,0.67,1.67,217.6,0
7/3/23 11:15,-0.00023,746.15,895.6,12.861,38.592,0.67,2.34,196.5,0
7/3/23 11:30,-0.00023,746.15,919.4,15.092,33.312,0.33,1.34,233.1,0
7/3/23 11:45,-0.00023,746.05,931.9,13.955,35.621,0.67,2.67,217.6,0
7/3/23 12:00,-0.00023,745.95,950.6,14.856,33.57,0.67,1.34,252.7,0
7/3/23 12:15,-0.00023,745.95,965.6,14.834,34.829,0.33,1.67,268.1,0
7/3/23 12:30,-0.00023,745.95,975.6,15.199,29.943,0.33,1.34,23.9,0
