Region Code,Timestamp (Hour Ending),Wind Generation (MWh),Solar Generation (MWh),Hydro Generation (MWh),Other Generation (MWh),Petroleum Generation (MWh),Natural gas Generation (MWh),Coal Generation (MWh),Nuclear Generation (MWh)
NW,5/16/2022 12 a.m. PDT,6358,-1,15742,801,60,5618,8059,1148
NW,5/16/2022 1 a.m. PDT,6879,0,14989,814,60,5479,7852,1147
NW,5/16/2022 2 a.m. PDT,6716,-3,14250,816,60,5292,7681,1147
NW,5/16/2022 3 a.m. PDT,6961,0,14033,819,61,5030,7552,1147
NW,5/16/2022 4 a.m. PDT,7219,-4,13939,835,61,4853,7578,1148
NW,5/16/2022 5 a.m. PDT,7114,-2,14804,845,62,4955,7607,1151
NW,5/16/2022 6 a.m. PDT,7569,186,16398,844,61,5082,7690,1153
NW,5/16/2022 7 a.m. PDT,7289,1599,17731,852,60,4754,7807,1155
NW,5/16/2022 8 a.m. PDT,7024,3582,17712,859,60,3769,7764,1154
NW,5/16/2022 9 a.m. PDT,6767,4561,17516,859,60,3378,7713,1153
NW,5/16/2022 10 a.m. PDT,6977,4920,16651,859,59,3445,7818,1153
NW,5/16/2022 11 a.m. PDT,7594,4943,15785,934,56,3745,7807,1151
NW,5/16/2022 12 p.m. PDT,8274,4896,15146,917,57,4079,7862,1148
NW,5/16/2022 1 p.m. PDT,8550,4730,14919,901,56,4377,8541,1147
NW,5/16/2022 2 p.m. PDT,8827,4692,14913,890,56,4608,8799,1146
NW,5/16/2022 3 p.m. PDT,9100,4494,14996,877,56,5170,8810,1145
NW,5/16/2022 4 p.m. PDT,9123,4112,14943,864,57,5908,8824,1146
NW,5/16/2022 5 p.m. PDT,9869,3977,15451,780,57,6150,8475,1146
NW,5/16/2022 6 p.m. PDT,9563,3333,16256,757,58,7040,8770,1144
NW,5/16/2022 7 p.m. PDT,9366,1746,17376,800,58,7772,8840,1142
NW,5/16/2022 8 p.m. PDT,9056,263,17975,851,59,8188,8786,1143
NW,5/16/2022 9 p.m. PDT,9436,25,17350,838,58,7950,8635,1145
NW,5/16/2022 10 p.m. PDT,9722,22,16968,817,60,6798,8230,1147
NW,5/16/2022 11 p.m. PDT,8883,-1,16588,833,59,6378,7784,1151
NW,5/17/2022 12 a.m. PDT,7991,-1,15366,816,62,5704,7667,1155
NW,5/17/2022 1 a.m. PDT,7807,-1,15492,812,61,5374,7902,1156
NW,5/17/2022 2 a.m. PDT,7596,-5,15115,814,61,5046,8371,1157
NW,5/17/2022 3 a.m. PDT,7276,1,14993,820,59,5029,8832,1159
NW,5/17/2022 4 a.m. PDT,6570,-1,15541,830,59,5323,8995,1160
NW,5/17/2022 5 a.m. PDT,6432,0,16220,856,60,5393,9029,1161
NW,5/17/2022 6 a.m. PDT,6376,230,18196,861,60,5311,9125,1161
NW,5/17/2022 7 a.m. PDT,6210,2024,19158,890,59,5099,9058,1162
NW,5/17/2022 8 a.m. PDT,5605,4176,19093,943,55,4197,8917,1159
NW,5/17/2022 9 a.m. PDT,5702,4798,17990,829,57,4014,8473,1159
NW,5/17/2022 10 a.m. PDT,6064,5014,17543,845,56,4002,8081,1158
NW,5/17/2022 11 a.m. PDT,5709,5005,17367,814,58,4316,7902,1156
NW,5/17/2022 12 p.m. PDT,5442,4932,17274,811,58,4460,7858,1156
NW,5/17/2022 1 p.m. PDT,10945,4804,17169,851,57,4963,8278,1155
NW,5/17/2022 2 p.m. PDT,5659,4607,17120,793,56,5627,8332,1154
NW,5/17/2022 3 p.m. PDT,5495,4353,16779,787,59,6071,8673,1153
NW,5/17/2022 4 p.m. PDT,5730,4253,16322,780,57,6422,8571,1154
NW,5/17/2022 5 p.m. PDT,7063,3953,17070,764,58,6129,8285,1152
NW,5/17/2022 6 p.m. PDT,6448,3361,18131,711,58,7174,8405,1153
NW,5/17/2022 7 p.m. PDT,5689,1641,19086,746,57,8210,9021,1151
NW,5/17/2022 8 p.m. PDT,5602,182,18943,744,58,8114,9487,1153
NW,5/17/2022 9 p.m. PDT,5261,23,18606,746,57,8235,9361,1153
NW,5/17/2022 10 p.m. PDT,5507,24,18557,739,59,7488,9413,1153
NW,5/17/2022 11 p.m. PDT,5809,-1,18390,747,59,6699,9186,1153
NW,5/18/2022 12 a.m. PDT,4910,-2,16505,762,58,6311,8931,1157
NW,5/18/2022 1 a.m. PDT,4732,-1,16004,771,58,6213,8922,1157
