,name,street,town,state,zipcode,annual_rounds,ownership,year_built,green_fees
0,Northwood Golf Club,19400 Hwy 116,Monte Rio,CA,95462,"20,000 (estimated)",Public,1928,$38.00
1,Angeles National Golf Club,9401 Foothill Blvd,Sunland,CA,91040,N/A,Public,2004,$98.00
2,Bailey Creek Golf Course,Durkin Dr,Lake Almanor,CA,96317,N/A,Public,1999,$63.00
3,Friars Presidio Course at Riverwalk Golf Club,1150 Fashion Valley Rd,San Diego,CA,92108,N/A,Resort,1998,$98.00
4,Mission Friars Course at Riverwalk Golf Club,1150 Fashion Valley Rd,San Diego,CA,92108,N/A,Resort,1998,$98.00
5,Presidio Mission Course at Riverwalk Golf Club,1150 Fashion Valley Rd,San Diego,CA,92108,N/A,Resort,N/A,$98.00
6,Forest Lake Golf Course,2450 E Woodson Rd,Acampo,CA,95220,N/A,Public,1941,$12.00
7,Lindero Country Club,5719 Lake Lindero Dr,Agoura Hills,CA,91301,N/A,Semi-Private,1970,$16.00
8,Ranch Course at Sierra Meadows Country Club,46516 Opah Drive,Ahwahnee,CA,93601,N/A,Semi-Private,1980,$49.00
9,River Creek Course at Sierra Meadows Country Club,46516 Opah Drive,Ahwahnee,CA,93601,N/A,Semi-Private,1990,N/A
10,River Creek Golf Course,41709 Rd 600,Ahwahnee,CA,93601,N/A,Public,1990,$22.00
11,The Miff Albright Par 3 Course at Chuck Corica Golf Complex,1 Clubhouse Memorial Dr,Alameda,CA,94502,N/A,Public,1957,N/A
12,The North - Earl Fry Course at Chuck Corica Golf Complex,1 Clubhouse Memorial Dr,Alameda,CA,94502,N/A,Public,1927,$35.00
13,The South - Jack Clark Course at Chuck Corica Golf Complex,1 Clubhouse Memorial Dr,Alameda,CA,94502,N/A,Public,1957,$35.00
14,Round Hill Golf & Country Club,3169 Round Hill Rd,Alamo,CA,94507,"50,000 (estimated)",Private,,$100.00
15,Alhambra Municipal Golf Course,630 S Almansor St,Alhambra,CA,91801,"90,000 (estimated)",Public,1955,$23.50
16,Creek Valley Course at Aliso Viejo Golf Club,25191 Golf Dr,Aliso Viejo,CA,92656,"65,000 (estimated)",Public,1999,$99.00
17,Ridge Creek Course at Aliso Viejo Golf Club,25191 Golf Dr,Aliso Viejo,CA,92656,"65,000 (estimated)",Public,1999,$99.00
18,Valley Ridge Course at Aliso Viejo Golf Club,25191 Golf Dr,Aliso Viejo,CA,92656,"65,000 (estimated)",Public,1999,$99.00
19,Altadena Golf Course,1456 E Mendocino St,Altadena,CA,91001,"70,000 (estimated)",Public,1939,$25.00
20,Arrowhead Golf Course,1901 N Warner St,Alturas,CA,96101,"20,000 (estimated)",Public,1966,$20.00
21,Anaheim Hills Golf Course,6501 E Nohl Ranch Rd,Anaheim,CA,92807,"90,000 (estimated)",Public,1972,$50.00
22,Dad Miller Golf Course,430 N Gilbert St,Anaheim,CA,92801,"115,000 (estimated)",Public,1961,$32.00
23,Greenhorn Creek Resort Golf Course,676 Mccauley Ranch Rd,Angels Camp,CA,95222,"38,000 (estimated)",Semi-Private,1996,$75.00
24,Antelope Greens Golf Course,2721 Elverta Rd,Antelope,CA,95843,"50,000 (estimated)",Public,1994,$21.00
25,Lawrence Links Golf Course,3825 Blackfoot Way,Antelope,CA,95843,"17,000 (estimated)",Public,1962,$20.00
26,Golf Club At Roddy Ranch,1 Tour Way,Antioch,CA,94531,N/A,Public,2000,$75.00
27,Lone Tree Golf Course,4800 Golf Course Rd,Antioch,CA,94509,"80,000 (estimated)",Public,1957,$33.00
28,Apple Valley Country Club,15200 Rancherias Rd,Apple Valley,CA,92307,"25,000 (estimated)",Private,1951,$40.00
29,Jess Ranch Golf Course,10885 Apple Valley Rd,Apple Valley,CA,92308,"52,000 (estimated)",Public,1993,$34.00
30,Seascape Golf Club,610 Clubhouse Dr,Aptos,CA,95003,"70,000 (estimated)",Semi-Private,1900,$80.00
31,Arbuckle Golf Club,Hillgate Rd,Arbuckle,CA,95912,N/A,Semi-Private,1960,$25.00
32,Arcadia Golf Course,620 E Live Oak Ave,Arcadia,CA,91006,"65,000 (estimated)",Public,1959,$12.00
33,Santa Anita Golf Course,405 S Santa Anita Ave,Arcadia,CA,91006,"100,000 (estimated)",Public,1933,$25.00
34,Baywood Golf & Country Club,3600 Buttermilk Ln,Arcata,CA,95521,"30,000 (estimated)",Private,1958,$25.00
35,Meadowmont Golf Course,1684 Hwy 4,Arnold,CA,95223,"16,000 (estimated)",Public,1954,$23.00
36,Sequoia Woods Country Club,1000 Cypress Point Dr,Arnold,CA,95223,"32,000 (estimated)",Private,1963,$35.00
37,Cypress Ridge,780 Cypress Ridge Pkwy,Arroyo Grande,CA,93420,N/A,Public,1999,$65.00
38,Sycamore Canyon Golf Course,500 Kenmar Ln,Arvin,CA,93203,"55,000 (estimated)",Public,1992,$15.00
39,Chalk Mountain Golf Course,10000 El Bordo Rd,Atascadero,CA,93422,"64,000 (estimated)",Public,1980,$27.00
40,Eagle Creek Golf Course,13000 Atascadero Rd,Atascadero,CA,93422,"40,000 (estimated)",Public,1998,$17.00
41,Rancho Del Rey Golf Club,5250 W Green Sands Rd,Atwater,CA,95301,"70,000 (estimated)",Semi-Private,1955,$22.00
42,Auburn Valley Country Club,8800 Auburn Valley Rd,Auburn,CA,95602,"50,000 (estimated)",Private,1958,$60.00
43,Black Oak Golf Course,2455 Black Oak Rd,Auburn,CA,95602,"80,000 (estimated)",Public,1987,$20.00
44,Course at Raspberry Hill,14520 Musso Rd,Auburn,CA,95603,"39,000 (estimated)",Public,1981,$17.50
45,DarkHorse Golf Club,13450 Combie Rd,Auburn,CA,95602,N/A,Public,2002,$79.00
46,Lake of the Pines Country Club,11665 Lakeshore N,Auburn,CA,95602,"50,000 (estimated)",Private,1978,$20.00
47,Ridge Golf Course,2020 Golf Course Rd,Auburn,CA,95602,N/A,Semi-Private,1999,$55.00
48,Catalina Island Golf Club,1 Country Club Rd,Avalon,CA,90704,"35,000 (estimated)",Semi-Private,1925,$48.00
49,Avila Beach Resort,6464 Ana Bay Drive,Avila Beach,CA,93424,"55,000 (estimated)",Resort,1969,$62.00
50,Azusa Greens Country Club,919 W Sierra Madre Ave,Azusa,CA,91702,N/A,Public,1965,$35.00
51,Bakersfield Country Club,4200 Country Club Dr,Bakersfield,CA,93306,"30,000 (estimated)",Private,1949,$100.00
52,James C. Haggerty North Kern Golf Course,17412 Quality Rd,Bakersfield,CA,93308,"60,000 (estimated)",Public,1950,$14.75
53,Kern River Golf Course,Lake Ming Dr,Bakersfield,CA,93386,"72,000 (estimated)",Public,1953,$14.75
54,Links at River Lakes Ranch,5201 Riverlakes Dr,Bakersfield,CA,93312,N/A,Public,1999,$44.00
55,Pepper Tree Golf Course,1119 Watts Dr,Bakersfield,CA,93307,"52,000 (estimated)",Public,1952,$25.00
