,name,street,town,state,zipcode,annual_rounds,ownership,year_built,green_fees
0,MeadowWood Golf Course,E 24501 Valley Way,Liberty Lake,WA,99019,"25,000 (estimated)",Public,1987,$23.00
1,Desert Canyon Golf Resort,1201 Desert Canyon Blvd,Orondo,WA,98843,"30,000 (estimated)",Resort,1993,$89.00
2,Plateau Club,25625 E Platueau Dr,Sammamish,WA,98074,"30,000 (estimated)",Private,1998,$65.00
3,Grays Harbor Country Club,5300 Central Park Dr,Aberdeen,WA,98520,"40,000 (estimated)",Private,1913,$25.00
4,Generation I & II Course at Lake Land Village Golf Course,E 200 Old Ranch Rd,Allyn,WA,98524,"35,000 (estimated)",Semi-Private,1972,$27.00
5,Generation I & III Course at Lake Land Village Golf Course,E 200 Old Ranch Rd,Allyn,WA,98524,"35,000 (estimated)",Semi-Private,1998,$27.00
6,Generation II & III Course at Lake Land Village Golf Course,E 200 Old Ranch Rd,Allyn,WA,98524,"35,000 (estimated)",Semi-Private,1998,$27.00
7,Similk Golf Course,12518 Christianson Rd,Anacortes,WA,98221,"36,000 (estimated)",Public,1988,$22.00
8,Riviera Country Club,11019 Country Club Dr,Anderson Island,WA,98303,N/A,Private,1968,$18.00
9,Gleneagle Golf Course,7619 Country Club Dr,Arlington,WA,98223,"40,000 (estimated)",Public,1993,$29.00
10,Auburn Golf Course,29630 Green River Rd Se,Auburn,WA,98092,"70,000 (estimated)",Public,1970,$32.00
11,Jade Greens Golf Club,18330 Se Lake Holm Rd,Auburn,WA,98092,"27,000 (estimated)",Public,1990,$24.00
12,Washington National Golf Club,14330 Se Husky Way,Auburn,WA,98092,N/A,Public,2000,$90.00
13,Meadowmeer Golf & Country Club,8530 Renny Ln Ne,Bainbridge Island,WA,98110,"65,000 (estimated)",Semi-Private,1971,$23.00
14,Wing Point Golf & Country Club,811 Cherry Ave,Bainbridge Island,WA,98110,"85,000 (estimated)",Private,1963,$50.00
15,Bellevue Municipal Golf Course,5500 140th Ave Ne,Bellevue,WA,98005,"78,000 (estimated)",Public,1968,$31.00
16,Crossroads Par 3 Golf Course,16000 Ne 10th St,Bellevue,WA,98008,N/A,Public,1962,$10.00
17,Glendale Country Club,13440 Main St,Bellevue,WA,98005,"36,000 (estimated)",Private,1956,$110.00
18,Tam OShanter Golf & Country Club,1313 183rd Ave Ne,Bellevue,WA,98008,"30,000 (estimated)",Private,1965,$35.00
19,Bellingham Golf & Country Club,3729 Meridian St,Bellingham,WA,98225,"38,000 (estimated)",Private,1912,$45.00
20,Lake Padden Municipal Golf Course,4882 Samish Way,Bellingham,WA,98226,"70,000 (estimated)",Public,1970,$22.00
21,North Bellingham Golf Course,205 W Smith Rd,Bellingham,WA,98226,"35,000 (estimated)",Public,1995,$32.47
22,Pro Golf Center Golf Course,5022 Guide Meridian Rd,Bellingham,WA,98226,N/A,Public,,$6.00
23,Shuksan Golf Club,1500 E Axton Rd,Bellingham,WA,98226,"30,000 (estimated)",Public,1994,$26.00
24,Sudden Valley Golf & Country Club,2145 Lake Whatcom Blvd,Bellingham,WA,98226,"35,000 (estimated)",Semi-Private,1970,$37.00
25,Birch Bay Golf Club,7878 Birch Bay Dr,Blaine,WA,98230,"35,000 (estimated)",Public,1983,$23.00
26,Birch Bay Village Golf Course,8169 Cowichan Rd,Blaine,WA,98230,N/A,Private,1960,$15.00
27,Loomis Trail Course at Semiahmoo Golf & Country Club,8720 Semiahmoo Pkwy,Blaine,WA,98230,"55,000 (estimated)",Semi-Private,1992,$69.00
28,Semiahmoo Course at Semiahmoo Golf & Country Club,8720 Semiahmoo Pkwy,Blaine,WA,98230,"55,000 (estimated)",Semi-Private,1987,$69.00
29,Wayne Public Golf Course,16721 96th Ave Ne,Bothell,WA,98011,"65,000 (estimated)",Public,1931,$18.00
30,Kitsap Golf & Country Club,3885 Nw Golf Club Hill Rd,Bremerton,WA,98312,"30,000 (estimated)",Private,1920,$40.00
31,Rolling Hills Golf Course,2485 Ne Mcwilliams Rd,Bremerton,WA,98311,"55,000 (estimated)",Public,1972,$24.00
32,The Cascade Course at Gold Mountain Golf Course,7263 W Belfair Valley Rd,Bremerton,WA,98312,"70,000 (estimated)",Public,1971,$26.00
33,The Olympic Course at Gold Mountain Golf Course,7263 W Belfair Valley Rd,Bremerton,WA,98312,"70,000 (estimated)",Public,1996,$36.00
34,Lake Woods Golf Club,240 State Park Rd,Bridgeport,WA,98813,"26,000 (estimated)",Semi-Private,1963,$18.00
35,Cedars Golf Club,15001 Ne 181st St,Brush Prairie,WA,98606,"40,000 (estimated)",Public,1975,$26.00
36,Hartwood Golf Course,12506 Ne 152nd Ave,Brush Prairie,WA,98606,"17,000 (estimated)",Public,1996,$20.00
37,North West Course at Avalon Golf Club,19345 Kelleher Rd,Burlington,WA,98233,"45,000 (estimated)",Public,1991,$45.00
38,Skagit Golf & Country Club,1493 Country Club Dr,Burlington,WA,98233,"55,000 (estimated)",Private,1933,$40.00
39,South North Course at Avalon Golf Club,19345 Kelleher Rd,Burlington,WA,98233,"45,000 (estimated)",Public,1991,$45.00
40,West South Course at Avalon Golf Club,19345 Kelleher Rd,Burlington,WA,98233,"45,000 (estimated)",Public,1991,$45.00
41,Camaloch Golf Club,326 Ne Camano Dr,Camano Island,WA,98292,"35,000 (estimated)",Public,,$25.00
42,Camas Meadows Golf Club,4105 N W Camas Meadows Dr,Camas,WA,98607,N/A,Public,2000,$75.00
43,Carnation Golf Course,1810 W Snoqualmie River Rd Ne,Carnation,WA,98014,"40,000 (estimated)",Public,1966,$32.00
44,Carson Hot Springs Golf Course & Resort,1 St Martin Rd,Carson,WA,98610,"17,000 (estimated)",Resort,1990,$25.00
45,Mount Cashmere Golf Course,6404 Kimber Rd,Cashmere,WA,98815,N/A,Public,1998,$15.00
46,Skyline Golf Course,20 Randall Dr,Cathlamet,WA,98612,"35,000 (estimated)",Public,1971,$15.00
47,Centralia Public Golf Course,1012 Duffy St,Centralia,WA,98531,"10,000 (estimated)",Public,1943,$13.00
48,East West Course at Newaukum Valley Golf Course,153 Newaukum Golf Dr,Chehalis,WA,98532,"35,000 (estimated)",Public,1994,$20.00
49,Riverside Golf Club,1451 Nw Airport Rd,Chehalis,WA,98532,"30,000 (estimated)",Public,1927,$27.00
50,South East Course at Newaukum Valley Golf Course,153 Newaukum Golf Dr,Chehalis,WA,98532,"35,000 (estimated)",Public,1994,$22.00
51,South West Course at Newaukum Valley Golf Course,153 Newaukum Golf Dr,Chehalis,WA,98532,"35,000 (estimated)",Public,,$20.00
52,Lake Chelan Golf Course,1501 Golf Course Dr,Chelan,WA,98816,"35,000 (estimated)",Public,1964,$27.00
53,Fairways at West Terrace,9810 W Melville Rd,Cheney,WA,99004,"30,000 (estimated)",Public,1987,$20.00
54,18-Hole Course at Chewelah Golf & Country Club,2537 Sand Canyon Rd,Chewelah,WA,99109,"30,000 (estimated)",Semi-Private,1976,$22.00
55,9-Hole Course at Chewelah Golf & Country Club,2537 Sand Canyon Rd,Chewelah,WA,99109,"30,000 (estimated)",Semi-Private,2001,$22.00
56,Clarkston Golf & Country Club,1676 Elm St,Clarkston,WA,99403,"27,000 (estimated)",Private,1933,$45.00
57,Quail Ridge Golf Course,3600 Swallows Nest Dr,Clarkston,WA,99403,"45,000 (estimated)",Public,1970,$19.00
58,Sun Country Golf Resort,841 St Andrews Dr,Cle Elum,WA,98922,"35,000 (estimated)",Public,1973,$20.00
59,Island Greens,3890 E French Rd,Clinton,WA,98236,"17,000 (estimated)",Public,1989,$14.00
60,Colfax Golf Club,2402 N Cedar St,Colfax,WA,99111,"44,000 (estimated)",Public,1927,$18.00
61,Dominion Meadows Golf Club,1861 E Hawthorne Ave,Colville,WA,99114,N/A,Public,2002,$18.00
62,Highland Golf Course,2200 1st St,Cosmopolis,WA,98537,"35,000 (estimated)",Public,1932,$19.00
63,Vic Meyers Golf Course,Route 1,Coulee City,WA,99115,"17,000 (estimated)",Public,1949,$16.00
64,Dakota Creek Golf & Country Club,3258 Haynie Rd,Custer,WA,98240,N/A,Public,1989,$22.00
65,Grandview Golf Course,7738 Portal Way,Custer,WA,98240,"36,000 (estimated)",Public,,$23.00
66,Touchet Valley Golf Course,209 N Pine St,Dayton,WA,99328,"11,000 (estimated)",Public,1915,$16.00
67,Deer Park Golf Club,1201 Country Club Dr,Deer Park,WA,99006,"35,000 (estimated)",Public,1996,$21.00
68,Wenatchee Golf & Country Club,1602 Country Club Dr,East Wenatchee,WA,98802,"22,000 (estimated)",Private,1923,$49.00
69,Orcas Island Country Golf Club,Route 1,Eastsound,WA,98245,N/A,Public,1969,$30.00
70,Tanwax Greens Golf Course,36510 Mountain Hwy E,Eatonville,WA,98328,N/A,Public,1998,$22.00
71,Banks Lake Golf & Country Club,19849 Luidolph Rd Ne,Electric City,WA,99123,"12,000 (estimated)",Semi-Private,1985,$20.00
72,Ellensburg Golf Club,3231 Thorp Hwy S,Ellensburg,WA,98926,"42,000 (estimated)",Public,1940,$24.00
73,Oaksridge Golf Course,1052 Monte Elma,Elma,WA,98541,"27,000 (estimated)",Public,1951,$15.00
74,Enumclaw Golf Course,45220 288th Ave Se,Enumclaw,WA,98022,"29,000 (estimated)",Public,1947,$19.00
75,Oasis Park Golf Course,2541 Basin St Sw,Ephrata,WA,98823,N/A,Public,1980,$9.00
76,Everett Golf & Country Club,1500 52nd St,Everett,WA,98203,"40,000 (estimated)",Private,1910,$85.00
77,Hat Island Golf Course,Hat Island,Everett,WA,98201,N/A,Private,1969,$15.00
78,Legion Memorial Golf Course,144 W Marine View Dr,Everett,WA,98201,"27,000 (estimated)",Public,1931,$30.00
79,Walter E. Hall Memorial Golf Course,1226 W Casino Rd,Everett,WA,98204,N/A,Public,1934,$22.00
80,Evergreen Golf Course,413 E Main St,Everson,WA,98247,"27,000 (estimated)",Public,1959,$12.00
81,Raspberry Ridge Golf Course,6827 Hannegan Rd,Everson,WA,98247,"35,000 (estimated)",Public,1984,$17.00
82,Snoqualmie Falls Golf Course,35109 Se Fish Hatchery Rd,Fall City,WA,98024,"60,000 (estimated)",Public,1963,$26.00
83,Tall Chief Golf Course,1313 W Snoqualmie Rd Se,Fall City,WA,98024,"30,000 (estimated)",Public,1963,$25.00
84,Twin Rivers Golf Course,4446 Preston Fall City Rd Se,Fall City,WA,98024,"21,000 (estimated)",Public,1994,$24.00
85,Twin Lakes Golf & Country Club,3583 Sw 320th St,Federal Way,WA,98023,"35,000 (estimated)",Private,1966,$45.00
86,Sandy Point Golf Course,4460 Decadure Dr,Ferndale,WA,98248,N/A,Private,1970,$5.00
87,Wayne Olsen Riverside Golf,5799 Riverside Dr,Ferndale,WA,98248,"35,000 (estimated)",Public,1932,$13.00
88,Fircrest Golf Club,1500 Regents Blvd,Fircrest,WA,98466,"45,000 (estimated)",Private,1925,$95.00
89,Blue Green Course at Fort Lewis Golf Course,Mounts Rd,Fort Lewis,WA,98433,N/A,Public,1979,$23.00
90,Green Red Course at Fort Lewis Golf Course,Mounts Rd,Fort Lewis,WA,98433,N/A,Public,1979,$23.00
