date,temp,discharge
2020-09-30,14,3470
2020-10-01,14.2,3460
2020-10-02,14.3,3250
2020-10-03,14.4,3070
2020-10-04,14.7,3040
2020-10-05,15.2,3080
2020-10-06,15.5,3140
2020-10-07,16.2,3060
2020-10-08,17,3000
2020-10-09,17.3,2950
2020-10-10,17.1,3020
2020-10-11,17.1,2980
2020-10-12,17.1,2980
2020-10-13,16.9,3020
2020-10-14,16.8,3700
2020-10-15,16.7,3650
2020-10-16,16.6,3440
2020-10-17,16.7,3320
2020-10-18,16.7,3190
2020-10-19,16.6,3000
2020-10-20,16,2430
2020-10-21,15.4,1650
2020-10-22,14.4,1630
2020-10-23,14.3,1620
2020-10-24,14.6,1700
2020-10-25,13.3,1780
2020-10-26,12.8,1750
2020-10-27,12.8,1770
2020-10-28,12.9,1840
2020-10-29,12.9,1830
2020-10-30,12.9,1820
2020-10-31,13,1820
2020-11-01,12.8,1820
2020-11-02,12.9,1810
2020-11-03,12.9,1710
2020-11-04,13.6,1580
2020-11-05,13.3,1590
2020-11-06,12.8,1700
2020-11-07,12.1,1730
2020-11-08,11.5,1710
2020-11-09,10.9,1690
2020-11-10,11.2,1700
2020-11-11,10.9,1750
2020-11-12,10.3,1790
2020-11-13,10.4,2150
2020-11-14,9.4,2910
2020-11-15,9.5,4600
2020-11-16,10,4800
2020-11-17,10.2,4570
2020-11-18,10.5,5170
2020-11-19,10.1,6850
2020-11-20,9.5,7790
2020-11-21,9.3,7590
2020-11-22,9.3,7210
2020-11-23,9.6,6960
2020-11-24,9.5,6670
2020-11-25,9.2,6880
2020-11-26,9.1,7140
2020-11-27,8.5,7020
2020-11-28,8.4,6300
2020-11-29,8.2,5670
2020-11-30,8.2,3730
2020-12-01,7.8,3720
2020-12-02,7.8,3750
2020-12-03,7.5,3400
2020-12-04,7.2,2500
2020-12-05,7.2,2270
2020-12-06,7.8,2180
2020-12-07,7.4,2180
2020-12-08,7.6,2190
2020-12-09,7.9,2210
2020-12-10,7.3,2210
2020-12-11,7.4,2330
2020-12-12,7.1,2340
2020-12-13,7.3,2490
2020-12-14,7.3,4140
2020-12-15,7.5,3800
2020-12-16,7.6,3240
2020-12-17,7.9,3800
2020-12-18,7.8,7030
2020-12-19,8,8030
2020-12-20,8.8,10500
2020-12-21,9.3,11800
2020-12-22,8.5,11400
2020-12-23,7.6,11000
2020-12-24,7.1,9830
2020-12-25,7.1,8860
2020-12-26,7.5,8750
2020-12-27,7.1,8500
2020-12-28,6.6,8130
2020-12-29,6.2,7710
2020-12-30,6.5,7380
2020-12-31,6.9,7690
2021-01-01,7.2,7130
2021-01-02,7.4,6120
2021-01-03,7.7,7450
2021-01-04,8.1,7860
2021-01-05,7.7,7670
2021-01-06,7.7,7510
2021-01-07,7.6,7440
2021-01-08,7.4,7580
2021-01-09,6.8,7770
2021-01-10,7.1,7580
2021-01-11,7.2,7000
2021-01-12,8.3,4340
2021-01-13,8.7,4420
2021-01-14,8,5560
2021-01-15,8,6310
2021-01-16,7.7,8810
2021-01-17,7.6,9420
2021-01-18,7.3,9120
2021-01-19,6.8,7230
2021-01-20,6.5,5530
2021-01-21,6.8,5090
2021-01-22,6.8,4600
2021-01-23,6.5,4390
2021-01-24,6.2,4480
2021-01-25,6.2,4820
2021-01-26,5.8,3820
2021-01-27,6,2960
2021-01-28,6.4,2520
2021-01-29,6.6,2210
2021-01-30,6.7,2070
2021-01-31,7.2,2080
2021-02-01,7.2,2090
2021-02-02,7.2,2210
2021-02-03,6.8,2520
2021-02-04,6.3,2470
2021-02-05,6.8,2370
2021-02-06,7.1,2400
2021-02-07,7.1,2520
2021-02-08,6.8,2490
2021-02-09,6.5,2320
2021-02-10,6.2,2070
2021-02-11,6.3,2110
2021-02-12,6.4,2150
2021-02-13,7.4,3530
2021-02-14,7.3,3670
2021-02-15,7.8,3670
2021-02-16,7.7,3620
2021-02-17,7.3,3950
2021-02-18,7.2,4090
2021-02-19,7.5,5230
2021-02-20,7.4,5340
2021-02-21,7.3,5120
2021-02-22,7.7,4610
2021-02-23,7.4,3870
2021-02-24,7.2,3180
2021-02-25,6.9,3000
2021-02-26,7.1,3110
2021-02-27,7.2,3170
2021-02-28,7.4,3080
2021-03-01,7.5,3060
2021-03-02,7.7,2960
2021-03-03,7.4,2880
2021-03-04,7.6,2810
2021-03-05,7.1,2840
2021-03-06,7.6,2960
2021-03-07,7.6,2850
2021-03-08,7.2,2640
2021-03-09,7.5,2420
2021-03-10,7.3,2280
2021-03-11,7.8,2200
2021-03-12,7.7,2160
2021-03-13,8,2130
2021-03-14,7.8,2130
2021-03-15,7.5,2240
2021-03-16,7.6,2330
2021-03-17,7.7,2270
2021-03-18,7.9,2250
2021-03-19,8,2160
2021-03-20,8.2,2170
2021-03-21,8,2220
2021-03-22,7.9,2330
2021-03-23,8,2410
2021-03-24,7.4,2360
2021-03-25,8.1,2390
2021-03-26,8.4,2370
2021-03-27,8.5,2390
2021-03-28,8.5,2390
2021-03-29,8.4,2370
2021-03-30,8.3,2330
2021-03-31,8.7,2300
2021-04-01,9.4,2280
2021-04-02,9.2,2460
2021-04-03,9.3,2610
2021-04-04,9.3,2600
2021-04-05,9.1,2570
2021-04-06,9.1,2760
2021-04-07,8.7,3320
2021-04-08,8.9,3310
2021-04-09,8.8,3300
2021-04-10,8.8,2810
2021-04-11,9,2360
2021-04-12,9.1,2370
2021-04-13,9.4,2330
2021-04-14,9.7,2100
2021-04-15,10.1,2040
2021-04-16,10.6,2030
2021-04-17,11.2,2030
2021-04-18,11.5,2020
2021-04-19,11.1,2020
2021-04-20,11.4,2010
2021-04-21,11.3,2010
2021-04-22,11.2,2000
2021-04-23,11,2000
2021-04-24,10.6,2010
2021-04-25,10.4,2020
2021-04-26,10.7,2040
2021-04-27,11,2030
2021-04-28,11.4,2020
2021-04-29,11.7,2010
2021-04-30,11.7,2020
2021-05-01,11.6,2110
2021-05-02,11.5,2100
2021-05-03,11.7,2100
2021-05-04,12.2,2080
2021-05-05,12,2070
2021-05-06,11.6,2020
2021-05-07,11.3,1910
2021-05-08,11.3,1890
2021-05-09,11.6,1880
2021-05-10,12.1,1870
2021-05-11,12.2,1870
2021-05-12,12.5,1880
2021-05-13,12.8,1920
2021-05-14,13.1,1910
2021-05-15,13.1,1890
2021-05-16,13.2,1860
2021-05-17,12.8,1880
2021-05-18,12.7,1860
2021-05-19,12,1920
2021-05-20,11.7,1940
2021-05-21,11.6,1950
2021-05-22,12.2,1940
2021-05-23,12,1930
2021-05-24,12.3,1940
2021-05-25,12.1,1990
2021-05-26,13,1990
2021-05-27,12.1,1960
2021-05-28,12.8,1960
2021-05-29,13.2,1940
2021-05-30,13.4,1940
2021-05-31,13.7,1930
2021-06-01,14,1910
2021-06-02,14.3,1920
2021-06-03,14.2,1920
2021-06-04,14,1920
2021-06-05,12.9,1950
2021-06-06,13,1960
2021-06-07,13.1,1970
2021-06-08,13.4,2000
2021-06-09,13.7,2220
2021-06-10,13.9,2140
2021-06-11,13.7,2120
2021-06-12,15.1,2120
2021-06-13,14.6,2100
2021-06-14,15,2080
2021-06-15,15,2060
2021-06-16,15.5,2050
2021-06-17,15.9,2110
2021-06-18,16.1,2540
2021-06-19,16.4,2860
2021-06-20,16.7,2730
2021-06-21,16.9,2710
2021-06-22,16.5,2680
2021-06-23,16.7,2750
2021-06-24,16.6,2700
2021-06-25,16.5,2840
2021-06-26,16.4,3030
2021-06-27,16.3,3070
2021-06-28,16.1,3000
2021-06-29,16,2380
2021-06-30,15.3,1930
2021-07-01,15.1,1820
2021-07-02,16,1770
2021-07-03,16.1,1780
2021-07-04,16.1,1770
2021-07-05,16,1780
2021-07-06,16,2000
2021-07-07,15.9,2330
2021-07-08,16,2290
2021-07-09,16.2,2000
2021-07-10,16.6,1970
